clase,syn
http://purl.obolibrary.org/obo/DOID_76,gastropatía
http://purl.obolibrary.org/obo/DOID_76,trastorno estomacal
http://purl.obolibrary.org/obo/DOID_76,enfermedad gástrica
http://purl.obolibrary.org/obo/DOID_0040093,LIF
http://purl.obolibrary.org/obo/DOID_0040093,LEIF
http://purl.obolibrary.org/obo/DOID_8857,lupus
http://purl.obolibrary.org/obo/DOID_0040099,vasculopatía livedoide
http://purl.obolibrary.org/obo/DOID_865,angitis
http://purl.obolibrary.org/obo/DOID_0040100,síndrome autoinmune insulínico
http://purl.obolibrary.org/obo/DOID_0040101,alergia al neopreno
http://purl.obolibrary.org/obo/DOID_0040102,alergia al neopreno
http://purl.obolibrary.org/obo/DOID_10400,gonorrea de vesícula seminal
http://purl.obolibrary.org/obo/DOID_0050012,Fiebre de chikunguña
http://purl.obolibrary.org/obo/DOID_934,infección viral
http://purl.obolibrary.org/obo/DOID_934,enfermedad viral
http://purl.obolibrary.org/obo/DOID_934,infección por virus
http://purl.obolibrary.org/obo/DOID_0050025,erliquiosis granulocítica humana
http://purl.obolibrary.org/obo/DOID_0050025,EGH
http://purl.obolibrary.org/obo/DOID_10242,erliquiosis humana
http://purl.obolibrary.org/obo/DOID_0050026,erliquiosis chaffeensis
http://purl.obolibrary.org/obo/DOID_0050035,fiebre maculosa por Rickettsia africae
http://purl.obolibrary.org/obo/DOID_0050035,fiebre sudafricana por picadura de garrapata
http://purl.obolibrary.org/obo/DOID_11104,rickettsiosis del grupo de las fiebres maculosas
http://purl.obolibrary.org/obo/DOID_0050043,fiebre maculosa israelí
http://purl.obolibrary.org/obo/DOID_0050046,fiebre maculosa por Rickettsia heilongjiangensis
http://purl.obolibrary.org/obo/DOID_0050047,tifus por garrapata tailandesa
http://purl.obolibrary.org/obo/DOID_0050047,FMIF
http://purl.obolibrary.org/obo/DOID_0050050,fiebre maculosa por Rickettsia japonica
http://purl.obolibrary.org/obo/DOID_0050050,fiebre maculosa oriental
http://purl.obolibrary.org/obo/DOID_0050051,infección por maculatum
http://purl.obolibrary.org/obo/DOID_0050052,tifus por garrapata
http://purl.obolibrary.org/obo/DOID_0050052,fiebre maculosa brasileña
http://purl.obolibrary.org/obo/DOID_0050052,Choix
