class,syn
http://purl.obolibrary.org/obo/DOID_0050214,Eaton-Lambert syndrome
http://purl.obolibrary.org/obo/DOID_0050214,LEMS
http://purl.obolibrary.org/obo/DOID_0050214,Lambert-Eaton syndrome
http://purl.obolibrary.org/obo/DOID_0050218,human polycystic hydatid disease
http://purl.obolibrary.org/obo/DOID_0050218,neotropical echinococcosis
http://purl.obolibrary.org/obo/DOID_1496,Echinococcosis of liver
http://purl.obolibrary.org/obo/DOID_1496,echinococcal disease
http://purl.obolibrary.org/obo/DOID_1496,hepatic echinococcosis
http://purl.obolibrary.org/obo/DOID_1496,hydatid disease
http://purl.obolibrary.org/obo/DOID_1496,hydatidosis
http://purl.obolibrary.org/obo/DOID_1496,liver echinococcus
http://purl.obolibrary.org/obo/DOID_1496,pulmonary echinococcosis
http://purl.obolibrary.org/obo/DOID_409,disorder of liver
http://purl.obolibrary.org/obo/DOID_409,hepatic disorder
http://purl.obolibrary.org/obo/DOID_0050242,Naegleria fowleri infection
http://purl.obolibrary.org/obo/DOID_2789,mastigophora infectious disease
http://purl.obolibrary.org/obo/DOID_2789,sarcomastigophora infectious disease
http://purl.obolibrary.org/obo/DOID_0050246,Acanthamoeba encephalitis
http://purl.obolibrary.org/obo/DOID_0050246,Acanthamoeba granulomatous encephalitis
http://purl.obolibrary.org/obo/DOID_0050246,Granulomatous Amebic Encephalitis due to Acanthamoeba
http://purl.obolibrary.org/obo/DOID_0050246,granulomatous amoebic encephalitis
http://purl.obolibrary.org/obo/DOID_883,helminth infection
http://purl.obolibrary.org/obo/DOID_883,helminthiasis
http://purl.obolibrary.org/obo/DOID_883,helminthosis
http://purl.obolibrary.org/obo/DOID_883,worm infection
http://purl.obolibrary.org/obo/DOID_319,myelopathy
http://purl.obolibrary.org/obo/DOID_557,impaired renal function disease
http://purl.obolibrary.org/obo/DOID_557,nephropathy
http://purl.obolibrary.org/obo/DOID_4110,ectoparasitism
http://purl.obolibrary.org/obo/DOID_11080,Infestation by fly larvae
http://purl.obolibrary.org/obo/DOID_11080,Infestation by maggots
http://purl.obolibrary.org/obo/DOID_11080,Maggot infestation
http://purl.obolibrary.org/obo/DOID_0050269,urogenital trichomonas
http://purl.obolibrary.org/obo/DOID_1947,trichomonas infection
http://purl.obolibrary.org/obo/DOID_732,urethra disease
http://purl.obolibrary.org/obo/DOID_2473,Opportunistic mycoses
http://purl.obolibrary.org/obo/DOID_2473,opportunistic systemic mycoses
http://purl.obolibrary.org/obo/DOID_1398,Ectoparasitic disease
http://purl.obolibrary.org/obo/DOID_1398,parasitemia
http://purl.obolibrary.org/obo/DOID_1459,Thyroid deficiency
http://purl.obolibrary.org/obo/DOID_1459,Thyroid insufficiency
http://purl.obolibrary.org/obo/DOID_0050331,LEVY-HOLLISTER SYNDROME
http://purl.obolibrary.org/obo/DOID_0050331,Lacrimo-auriculo-dento-digital syndrome 1
http://purl.obolibrary.org/obo/DOID_0050331,lacrimoauriculodentodigital syndrome
http://purl.obolibrary.org/obo/DOID_0081370,Lacrimo-auriculo-dento-digital (LADD) syndrome
http://purl.obolibrary.org/obo/DOID_0081370,lacrimoauriculodentodigital syndrome
http://purl.obolibrary.org/obo/DOID_3426,"Vertigo, vestibular disorder"
http://purl.obolibrary.org/obo/DOID_0050335,prolonged electroretinal response suppression
http://purl.obolibrary.org/obo/DOID_2485,Phosphorus disorder
http://purl.obolibrary.org/obo/DOID_2485,disorder of phosphorus metabolism
http://purl.obolibrary.org/obo/DOID_2485,phosphorus metabolism disorder
http://purl.obolibrary.org/obo/DOID_8398,Osteoarthrosis and allied disorder
http://purl.obolibrary.org/obo/DOID_8398,degenerative arthritis
http://purl.obolibrary.org/obo/DOID_8398,degenerative joint disease
http://purl.obolibrary.org/obo/DOID_8398,hypertrophic arthritis
http://purl.obolibrary.org/obo/DOID_8398,osteoarthrosis
http://purl.obolibrary.org/obo/DOID_0050398,Carrion disease
http://purl.obolibrary.org/obo/DOID_0050398,Oroya fever
http://purl.obolibrary.org/obo/DOID_11102,Bartonella infectious disease
http://purl.obolibrary.org/obo/DOID_11102,Rochalimaea infection
http://purl.obolibrary.org/obo/DOID_11102,bartonelliasis
http://purl.obolibrary.org/obo/DOID_0050419,C3 INACTIVATOR DEFICIENCY
http://purl.obolibrary.org/obo/DOID_0050419,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY
http://purl.obolibrary.org/obo/DOID_626,Complement deficiency disease
http://purl.obolibrary.org/obo/DOID_0050424,adenomatous polyposis of the colon
http://purl.obolibrary.org/obo/DOID_0050425,WED
http://purl.obolibrary.org/obo/DOID_0050425,Willis-Ekbom disease
http://purl.obolibrary.org/obo/DOID_0050425,Wittmaack-Ekbom syndrome
http://purl.obolibrary.org/obo/DOID_0050428,Thost-Unna Syndrome
http://purl.obolibrary.org/obo/DOID_0050428,Unna-Thost Syndrome
http://purl.obolibrary.org/obo/DOID_0050428,diffuse nonepidermolytic palmomplantar keratoderma
http://purl.obolibrary.org/obo/DOID_0050428,tylosis
http://purl.obolibrary.org/obo/DOID_3390,Keratosis palmaris et plantaris
http://purl.obolibrary.org/obo/DOID_3390,Palmoplantar Keratoderma
http://purl.obolibrary.org/obo/DOID_3390,palmo-plantar keratodermas
http://purl.obolibrary.org/obo/DOID_0050429,BENIGN CHRONIC PEMPHIGUS
http://purl.obolibrary.org/obo/DOID_0050429,"Pemphigus, Benign Familial"
http://purl.obolibrary.org/obo/DOID_0050430,MEN2A
http://purl.obolibrary.org/obo/DOID_0050430,Sipple syndrome
http://purl.obolibrary.org/obo/DOID_0050430,multiple endocrine neoplasia II
http://purl.obolibrary.org/obo/DOID_3125,Multiple endocrine adenomatosis
http://purl.obolibrary.org/obo/DOID_3125,Multiple endocrine neoplasia syndrome
http://purl.obolibrary.org/obo/DOID_0050431,ARVC
http://purl.obolibrary.org/obo/DOID_0050431,ARVC cardiomyopathy
http://purl.obolibrary.org/obo/DOID_0050431,ARVD
http://purl.obolibrary.org/obo/DOID_0050431,arrhythmogenic right ventricular cardiomyopathy
http://purl.obolibrary.org/obo/DOID_0050431,arrhythmogenic right ventricular dysplasia
http://purl.obolibrary.org/obo/DOID_0050431,arrhythmogenic right ventricular dysplasia/cardiomyopathy
http://purl.obolibrary.org/obo/DOID_0050431,right ventricular ACM
http://purl.obolibrary.org/obo/DOID_649,Prion disease pathway
