source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0112088,rdfs:label,nuclear type mitochondrial complex I deficiency 21,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 21,1
DOID:0112089,rdfs:label,nuclear type mitochondrial complex I deficiency 11,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 11,1
DOID:0112090,rdfs:label,nuclear type mitochondrial complex I deficiency 27,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 27,1
DOID:0112091,rdfs:label,nuclear type mitochondrial complex I deficiency 34,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 34,1
DOID:0112092,rdfs:label,nuclear type mitochondrial complex I deficiency 7,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 7,1
DOID:0112093,rdfs:label,nuclear type mitochondrial complex I deficiency 3,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 3,1
DOID:0112094,rdfs:label,nuclear type mitochondrial complex I deficiency 14,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 14,1
DOID:0112095,rdfs:label,nuclear type mitochondrial complex I deficiency 28,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 28,1
DOID:0112096,rdfs:label,nuclear type mitochondrial complex I deficiency 16,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 16,1
DOID:0112097,rdfs:label,nuclear type mitochondrial complex I deficiency 33,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 33,1
DOID:0112098,rdfs:label,nuclear type mitochondrial complex I deficiency 30,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 30,1
DOID:0112099,rdfs:label,nuclear type mitochondrial complex I deficiency 12,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 12,1
DOID:0112100,rdfs:label,mitochondrial type mitochondrial complex I deficiency,en,es,deficiencia del complejo I mitocondrial de tipo mitocondrial,1
DOID:0112101,rdfs:label,mitochondrial type mitochondrial complex I deficiency 1,en,es,deficiencia del complejo I mitocondrial de tipo mitocondrial 1,1
DOID:0112102,rdfs:label,Sotos syndrome 2,en,es,síndrome de Sotos 2,1
DOID:0112103,rdfs:label,Sotos syndrome 1,en,es,síndrome de Sotos 1,1
