source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0110136	rdfs:label	Bardet-Biedl syndrome 14	Síndrome de Bardet-Biedl 14	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110137	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the WDPCP gene on chromosome 2p15.	Síndrome de Bardet-Biedl que tiene como base material una mutación homocigota en el gen WDPCP del cromosoma 2p15.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6755500000000001	JAB-quick			
DOID:0110137	oboInOwl:hasExactSynonym	BBS15	BBS15	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110137	rdfs:label	Bardet-Biedl syndrome 15	Síndrome de Bardet-Biedl 15	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110138	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutations in the SDCCAG8 gene on chromosome 1q43.	Síndrome de Bardet-Biedl que tiene su base material en mutaciones homocigotas o heterocigotas compuestas en el gen SDCCAG8 del cromosoma 1q43.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6847000000000001	JAB-quick			
DOID:0110138	oboInOwl:hasExactSynonym	BBS16	BBS16	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110138	rdfs:label	Bardet-Biedl syndrome 16	Síndrome de Bardet-Biedl 16	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110139	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the LZTFL1 gene on chromosome 3p21.	Síndrome de Bardet-Biedl que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen LZTFL1 del cromosoma 3p21.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.66305	JAB-quick			
DOID:0110139	oboInOwl:hasExactSynonym	BBS17	BBS17	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110139	rdfs:label	Bardet-Biedl syndrome 17	Síndrome de Bardet-Biedl 17	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110140	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBIP1 gene on chromosome 10q25.	Un síndrome de Bardet-Biedl que tiene como base material una mutación homocigota en el gen BBIP1 en el cromosoma 10q25.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.684	JAB-quick			
DOID:0110140	oboInOwl:hasExactSynonym	BBS18	BBS18	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110140	rdfs:label	Bardet-Biedl syndrome 18	Síndrome de Bardet-Biedl 18	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110141	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the IFT27 gene on chromosome 22q12.	Un síndrome de Bardet-Biedl que tiene como base material una mutación homocigota en el gen IFT27 del cromosoma 22q12.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.684	JAB-quick			
DOID:0110141	oboInOwl:hasExactSynonym	BBS19	BBS19	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110141	rdfs:label	Bardet-Biedl syndrome 19	Síndrome de Bardet-Biedl 19	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110142	IAO:0000115	A Bartter disease that has_material_basis_in homozygous or compound heterozygous mutation in the sodium-potassium-chloride cotransporter-2 gene (SLC12A1) on chromosome 15q21.	Enfermedad de Bartter que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen del cotransportador-2 de sodio-potasio-cloruro (SLC12A1) en el cromosoma 15q21.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6177	JAB-quick			
DOID:0110142	oboInOwl:hasExactSynonym	BARTS1	BARTS1	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110142	oboInOwl:hasExactSynonym	Bartter syndrome type 1	Síndrome de Bartter tipo 1	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110142	oboInOwl:hasExactSynonym	Bartter syndrome type 1 antenatal	Síndrome de Bartter tipo 1 prenatal	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.8400000000000001				
DOID:0110142	oboInOwl:hasExactSynonym	hyperprostaglandin E syndrome 1	síndrome de hiperprostaglandina E 1	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.925				
DOID:0110142	oboInOwl:hasExactSynonym	hypokalemic alkalosis with hypercalciuria 1 antenatal	alcalosis hipopotasémica con hipercalciuria 1 prenatal	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.85415				
DOID:0110142	rdfs:label	Bartter disease type 1	Enfermedad de Bartter tipo 1	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110143	IAO:0000115	A Bartter disease that has_material_basis_in homozygous or compound heterozygous mutation in the potassium channel ROMK gene (KCNJ1) on chromosome 11q24.	Enfermedad de Bartter que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen ROMK del canal de potasio (KCNJ1) en el cromosoma 11q24.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6799999999999999	JAB-quick			
DOID:0110143	oboInOwl:hasExactSynonym	BARTS2	BARTS2	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110143	oboInOwl:hasExactSynonym	Bartter syndrome type 2	Síndrome de Bartter tipo 2	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110143	oboInOwl:hasExactSynonym	Bartter syndrome type 2 antenatal	Síndrome de Bartter tipo 2 prenatal	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.8400000000000001				
DOID:0110143	oboInOwl:hasExactSynonym	hyperprostaglandin E syndrome 2	síndrome de hiperprostaglandina E 2	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.925				
DOID:0110143	oboInOwl:hasExactSynonym	hypokalemic alkalosis with hypercalciuria 2 antenatal	alcalosis hipopotasémica con hipercalciuria 2 prenatal	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.85415				
DOID:0110143	rdfs:label	Bartter disease type 2	Enfermedad de Bartter tipo 2	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110144	IAO:0000115	A Bartter disease that has_material_basis_in homozygous or compound heterozygous mutation in the kidney chloride channel B gene (CLCNKB) on chromosome 1p36.	Enfermedad de Bartter que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen del canal B de cloruro renal (CLCNKB) en el cromosoma 1p36.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6513	JAB-quick			
DOID:0110144	oboInOwl:hasExactSynonym	BARTS3	BARTS3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110144	oboInOwl:hasExactSynonym	Bartter syndrome type 3	Síndrome de Bartter tipo 3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110144	oboInOwl:hasExactSynonym	classic Bartter syndrome	Síndrome de Bartter clásico	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0110144	rdfs:label	Bartter disease type 3	Enfermedad de Bartter tipo 3	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110145	IAO:0000115	A Bartter disease that has_material_basis_in homozygous or compound heterozygous mutation in the BSND gene on chromosome 1p32.	Enfermedad de Bartter que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen BSND del cromosoma 1p32.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.62615	JAB-quick			
DOID:0110145	oboInOwl:hasExactSynonym	BARTS4A	BARTS4A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110145	oboInOwl:hasExactSynonym	BSND	BSND	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110145	oboInOwl:hasExactSynonym	Bartter syndrome type 4a	Síndrome de Bartter tipo 4a	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110145	oboInOwl:hasExactSynonym	neonatal Bartter syndrome with sensorineural deafness	Síndrome de Bartter neonatal con sordera neurosensorial	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0110145	rdfs:label	Bartter disease type 4a	Enfermedad de Bartter tipo 4a	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
