source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0112305	IAO:0000115	A spondylometaphyseal dysplasia characterized by short stature, hyperlordosis, bowed legs, shortening and bowing of the forearms, abnormal face, and radiographic changes characteristic of spondylometaphyseal dysplasia.	La displasia espondilometafisaria se caracteriza por baja estatura,  hiperlordosis,  piernas arqueadas,  acortamiento y arqueamiento de los antebrazos,  cara anormal y cambios radiográficos característicos de la displasia espondilometafisaria.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6508		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112305	oboInOwl:hasExactSynonym	SMD with bowed forearms and facial dysmorphism	SMD con antebrazos arqueados y dismorfismo facial	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.85425				
DOID:0112305	oboInOwl:hasExactSynonym	spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	Síndrome de displasia espondilometafisaria-antebrazos arqueados-dismorfismo facial	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0112305	rdfs:label	spondylometaphyseal dysplasia with bowed forearms and facial dysmorphism	displasia espondilometafisaria con antebrazos arqueados y dismorfismo facial	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.84315				
DOID:0112306	IAO:0000115	An endocrine pancreas disease characterized by pancreatic alpha cell hyperplasia, pancreatic neuroendocrine tumors and increased serum glucagon levels that has_material_basis_in homozygous or compound heterozygous inactivating mutation of the GCGR gene on chromosome 17q25.3.	La enfermedad endocrina del páncreas se caracteriza por hiperplasia de las células alfa pancreáticas,  tumores neuroendocrinos pancreáticos y aumento de los niveles séricos de glucagón y tiene_base_material_en una mutación inactivadora homocigota o heterocigota compuesta del gen GCGR en el cromosoma 17q25.3.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6346		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112306	oboInOwl:hasExactSynonym	GCGR-related hyperglucagonemia	Hiperglucagonemia relacionada con GCGR	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112306	oboInOwl:hasExactSynonym	nesidioblastosis, alpha cell hyperplasia, microglucagonoma, and nonfunctioning islet cell tumor	Nesidioblastosis, hiperplasia de células alfa, microglucagonoma y tumor de células de los islotes no funcionantes	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.97				
DOID:0112306	rdfs:label	Mahvash Disease	enfermedad de Mahvash	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0112307	IAO:0000115	An amino acid metabolic disorder characterized by increased concentrations of sarcosine in plasma and urine that has_material_basis_in homozygous or compound heterozygous mutation in the SARDH gene on chromosome 9q34.2.	El trastorno metabólico de aminoácidos se caracteriza por un aumento de las concentraciones de sarcosina en plasma y orina y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen SARDH del cromosoma 9q34.2.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6892499999999999				
DOID:0112307	oboInOwl:hasExactSynonym	SARCOS	SARCOS	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112307	oboInOwl:hasExactSynonym	SARD deficiency	Deficiencia de SARD	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.78335				
DOID:0112307	oboInOwl:hasExactSynonym	SARDH deficiency	Deficiencia de SARDH	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112307	oboInOwl:hasExactSynonym	demethylation defect of N-methylglycine	Defecto de desmetilación de N-metilglicina	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.89				
DOID:0112307	oboInOwl:hasExactSynonym	sarcosine dehydrogenase complex deficiency	Deficiencia del complejo sarcosina deshidrogenasa	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0112307	rdfs:label	sarcosinemia	sarcosinemia	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112308	IAO:0000115	An endocrine system disease characterized by early activation of the hypothalamic-pituitary-gonadal axis resulting in development of secondary sexual characteristics before the age of 8 years in girls and 9 years in boys.	La enfermedad del sistema endocrino se caracteriza por una activación precoz del eje hipotalámico-hipofisario-gonadal que provoca el desarrollo de los caracteres sexuales secundarios antes de los 8 años en las niñas y de los 9 años en los niños.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.5909				
DOID:0112308	oboInOwl:hasExactSynonym	CPP	CPP	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112308	oboInOwl:hasExactSynonym	gonadotropin-dependant precocious puberty	Pubertad precoz dependiente de gonadotropinas	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.88				
DOID:0112308	rdfs:label	central precocious puberty	pubertad precoz central	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112309	IAO:0000115	A central precocious puberty that has_material_basis_in heterozygous mutation on the paternal allele of the MKRN3 gene on chromosome 15q11.2.	La pubertad precoz central tiene_base_material_en una mutación heterocigota en el alelo paterno del gen MKRN3 en el cromosoma 15q11.2.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6804				
