class,synonym,clase,sinónimo,class_match
http://purl.obolibrary.org/obo/DOID_0070263,Congenital disorder of glycosylation type 2k,http://purl.obolibrary.org/obo/DOID_0070263,Trastorno congénito de la glicosilación tipo 2k,TRUE
http://purl.obolibrary.org/obo/DOID_0070263,TMEM165-CDG,http://purl.obolibrary.org/obo/DOID_0070263,TMEM165-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,CDG IIl,http://purl.obolibrary.org/obo/DOID_0070264,CDG IIl,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,CDG syndrome type IIL,http://purl.obolibrary.org/obo/DOID_0070264,síndrome CDG tipo IIL,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,CDG2L,http://purl.obolibrary.org/obo/DOID_0070264,CDG2L,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,CDGIIdl,http://purl.obolibrary.org/obo/DOID_0070264,CDGIIdl,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,COG6-CGD,http://purl.obolibrary.org/obo/DOID_0070264,COG6-CGD,TRUE
http://purl.obolibrary.org/obo/DOID_0070264,Congenital disorder of glycosylation type 2l,http://purl.obolibrary.org/obo/DOID_0070264,Trastorno congénito de la glicosilación tipo 2l,TRUE
http://purl.obolibrary.org/obo/DOID_0070265,SLC35A2-CDG,http://purl.obolibrary.org/obo/DOID_0070265,SLC35A2-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070265,congenital disorder of glycosylation type 2m,http://purl.obolibrary.org/obo/DOID_0070265,trastorno congénito de la glicosilación tipo 2m,TRUE
http://purl.obolibrary.org/obo/DOID_0070265,developmental and epileptic encephalopathy 22,http://purl.obolibrary.org/obo/DOID_0070265,encefalopatía del desarrollo y epiléptica 22,TRUE
http://purl.obolibrary.org/obo/DOID_0070265,"epileptic encephalopathy, early infantile, 22",http://purl.obolibrary.org/obo/DOID_0070265,"encefalopatía epiléptica, infantil temprana, 22",TRUE
http://purl.obolibrary.org/obo/DOID_0070266,CDG IIn,http://purl.obolibrary.org/obo/DOID_0070266,CDG IIn,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,CDG syndrome type IIn,http://purl.obolibrary.org/obo/DOID_0070266,síndrome CDG tipo IIn,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,CDG2N,http://purl.obolibrary.org/obo/DOID_0070266,CDG2N,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,CDGIIdn,http://purl.obolibrary.org/obo/DOID_0070266,CDGIIdn,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,Carbohydrate deficient glycoprotein syndrome type IIn,http://purl.obolibrary.org/obo/DOID_0070266,Síndrome de glucoproteína deficiente en carbohidratos tipo IIn,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,Congenital disorder of glycosylation type 2n,http://purl.obolibrary.org/obo/DOID_0070266,Trastorno congénito de la glicosilación tipo 2n,TRUE
http://purl.obolibrary.org/obo/DOID_0070266,SLC39A8-CDG,http://purl.obolibrary.org/obo/DOID_0070266,SLC39A8-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,CCDC115-CDG,http://purl.obolibrary.org/obo/DOID_0070267,CCDC115-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,CDG IIo,http://purl.obolibrary.org/obo/DOID_0070267,CDG IIo,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,CDG syndrome type IIo,http://purl.obolibrary.org/obo/DOID_0070267,síndrome CDG tipo IIo,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,CDG2O,http://purl.obolibrary.org/obo/DOID_0070267,CDG2O,TRUE
