clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0060720,síndrome de ictiosis-atrofodermia folicular-hipotricosis,,,,
http://purl.obolibrary.org/obo/DOID_0060720,síndrome de ictiosis-atrofodermia folicular-hipotricosis-hipohidrosis,,,,
http://purl.obolibrary.org/obo/DOID_0060720,síndrome de ictiosis-hipotiosis,,,,
http://purl.obolibrary.org/obo/DOID_0060731,CCHS,,,,
http://purl.obolibrary.org/obo/DOID_0060731,maldición de Ondina,,,,
http://purl.obolibrary.org/obo/DOID_0060731,Síndrome de Ondina,,,,
http://purl.obolibrary.org/obo/DOID_0060731,síndrome de hipoventilación congénita central,,,,
http://purl.obolibrary.org/obo/DOID_0060731,síndrome de hipoventilación alveolar central congénita,,,,
http://purl.obolibrary.org/obo/DOID_0060769,disgenesia tímica quística linfoide,,,,
http://purl.obolibrary.org/obo/DOID_0060769,síndrome de inmunodeficiencia grave de células T-alopecia congénita-distrofia de uñas,,,,
http://purl.obolibrary.org/obo/DOID_0060769,deficiencia de hélice alada,,,,
http://purl.obolibrary.org/obo/DOID_0060770,D-TGA,,,,
http://purl.obolibrary.org/obo/DOID_0060770,DTGA1,,,,
http://purl.obolibrary.org/obo/DOID_0060770,transposición congénita no corregida de las grandes arterias,,,,
http://purl.obolibrary.org/obo/DOID_0060770,transposición congénita no corregida de los grandes vasos,,,,
http://purl.obolibrary.org/obo/DOID_0060770,discordancia ventrículo arterial aislada,,,,
http://purl.obolibrary.org/obo/DOID_0060770,discordancia ventrículo arterial con concordancia auriculoventricular,,,,
http://purl.obolibrary.org/obo/DOID_1682,Defectos cardiacos congénitos,,,,
http://purl.obolibrary.org/obo/DOID_1682,Anomalía congénita del corazón,,,,
http://purl.obolibrary.org/obo/DOID_1682,Malformación cardiaca,,,,
http://purl.obolibrary.org/obo/DOID_1682,defecto cardíaco congénito,,,,
http://purl.obolibrary.org/obo/DOID_1682,defecto cardíaco,,,,
http://purl.obolibrary.org/obo/DOID_1682,Defecto congénito del corazón,,,,
http://purl.obolibrary.org/obo/DOID_0060772,DTGA3,,,,
http://purl.obolibrary.org/obo/DOID_0060772,transposición dextrógira de las grandes arterias 3,,,,
http://purl.obolibrary.org/obo/DOID_0060775,enfermedad de Davidson,,,,
http://purl.obolibrary.org/obo/DOID_0060775,MVD,,,,
http://purl.obolibrary.org/obo/DOID_0060775,diarrea prolongada familiar congénita con anomalías del borde en cepillo de los enterocitos,,,,
http://purl.obolibrary.org/obo/DOID_0060775,atrofia congénita de microvellosidades,,,,
http://purl.obolibrary.org/obo/DOID_0060775,diarrea 2 con atrofia microvellositaria,,,,
http://purl.obolibrary.org/obo/DOID_0060775,diarrea infantil intratable,,,,
http://purl.obolibrary.org/obo/DOID_0060776,DIAR5,,,,
http://purl.obolibrary.org/obo/DOID_0060776,diarrea congénita 5 con enteropatía en penacho,,,,
http://purl.obolibrary.org/obo/DOID_0060776,diarrea familiar congénita intratable con anomalías epiteliales o epiteliales,,,,
http://purl.obolibrary.org/obo/DOID_0060776,diarrea familiar congénita intratable con anomalías epiteliales o epiteliales,,,,
