class,syn
http://purl.obolibrary.org/obo/DOID_0070269,COG2-related congenital disorder of glycosylation
http://purl.obolibrary.org/obo/DOID_0070277,MCPH15
http://purl.obolibrary.org/obo/DOID_0070277,NEDMISBA
http://purl.obolibrary.org/obo/DOID_0070277,"neurodevelopmental disorder with progressive microcephaly, spasticity, and brain imaging abnormalities"
http://purl.obolibrary.org/obo/DOID_0070296,MCPH
http://purl.obolibrary.org/obo/DOID_0070278,MCPH7
http://purl.obolibrary.org/obo/DOID_0070279,MCPH14
http://purl.obolibrary.org/obo/DOID_0070280,MCPH5
http://purl.obolibrary.org/obo/DOID_0070281,MCPH19
http://purl.obolibrary.org/obo/DOID_0070282,MCPH8
http://purl.obolibrary.org/obo/DOID_0070283,MCPH13
http://purl.obolibrary.org/obo/DOID_0070284,MCPH12
http://purl.obolibrary.org/obo/DOID_0070285,MCPH1
http://purl.obolibrary.org/obo/DOID_0070286,MCPH3
http://purl.obolibrary.org/obo/DOID_0070287,MCPH11
http://purl.obolibrary.org/obo/DOID_0070288,MCPH17
http://purl.obolibrary.org/obo/DOID_0070289,MCPH16
http://purl.obolibrary.org/obo/DOID_0070290,MCPH6
http://purl.obolibrary.org/obo/DOID_0070291,MCPH4
http://purl.obolibrary.org/obo/DOID_0070292,MCPH9
http://purl.obolibrary.org/obo/DOID_0070293,MCPH2
http://purl.obolibrary.org/obo/DOID_0070294,MCPH10
http://purl.obolibrary.org/obo/DOID_0070295,MCPH18
http://purl.obolibrary.org/obo/DOID_0070297,true microcephaly
http://purl.obolibrary.org/obo/DOID_0070315,Right hypoplastic heart syndrome
http://purl.obolibrary.org/obo/DOID_0080079,nonsyndromic congenital nail disorder 10
http://purl.obolibrary.org/obo/DOID_0080079,twenty-nail dystrophy
http://purl.obolibrary.org/obo/DOID_0080082,HYPONYCHIA CONGENITA
http://purl.obolibrary.org/obo/DOID_0080082,anonychia congenita
http://purl.obolibrary.org/obo/DOID_0080086,isolated toenail dystrophy
http://purl.obolibrary.org/obo/DOID_0080101,congenital myopathy 12
http://purl.obolibrary.org/obo/DOID_0080102,CFTD
http://purl.obolibrary.org/obo/DOID_0080102,congenital fiber-type disproportion
http://purl.obolibrary.org/obo/DOID_0080139,developmental and epileptic encephalopathy 20
http://purl.obolibrary.org/obo/DOID_0080139,early infantile epileptic encephalopathy 20
http://purl.obolibrary.org/obo/DOID_0080139,glycosylphosphatidylinositol biosynthesis defect 4
http://purl.obolibrary.org/obo/DOID_0080140,M syndrome
http://purl.obolibrary.org/obo/DOID_0080140,light fixation seizure syndrome
http://purl.obolibrary.org/obo/DOID_0080173,exstrophy-epispadias complex
http://purl.obolibrary.org/obo/DOID_0080180,ZIKV congenital infection
http://purl.obolibrary.org/obo/DOID_0080313,CPLS syndrome
http://purl.obolibrary.org/obo/DOID_0080313,syngnathia
http://purl.obolibrary.org/obo/DOID_0080395,nonsyndromic cleft lip with or without cleft palate 1
http://purl.obolibrary.org/obo/DOID_0080396,nonsyndromic cleft lip with or without cleft palate 2
http://purl.obolibrary.org/obo/DOID_0080397,nonsyndromic cleft lip with or without cleft palate 3
http://purl.obolibrary.org/obo/DOID_0080398,nonsyndromic cleft lip with or without cleft palate 4
http://purl.obolibrary.org/obo/DOID_0080399,nonsyndromic cleft lip with or without cleft palate 5
http://purl.obolibrary.org/obo/DOID_0080400,Zlotogora-Ogur syndrome
http://purl.obolibrary.org/obo/DOID_0080402,nonsyndromic cleft lip with or without cleft palate 9
http://purl.obolibrary.org/obo/DOID_0080403,nonsyndromic cleft lip with or without cleft palate 10
http://purl.obolibrary.org/obo/DOID_0080404,nonsyndromic cleft lip with or without cleft palate 11
http://purl.obolibrary.org/obo/DOID_0080405,nonsyndromic cleft lip with or without cleft palate 12
http://purl.obolibrary.org/obo/DOID_0080552,PMM2-congenital disorder of glycosylation
http://purl.obolibrary.org/obo/DOID_0080552,congenital disorder of glycosylation 1a
http://purl.obolibrary.org/obo/DOID_0080553,congenital disorder of glycosylation 1aa
http://purl.obolibrary.org/obo/DOID_0080554,congenital disorder of glycosylation 1b
http://purl.obolibrary.org/obo/DOID_0080555,congenital disorder of glycosylation 1c
http://purl.obolibrary.org/obo/DOID_0080556,congenital disorder of glycosylation 1d
http://purl.obolibrary.org/obo/DOID_0080557,congenital disorder of glycosylation 1e
http://purl.obolibrary.org/obo/DOID_0080558,congenital disorder of glycosylation 1f
http://purl.obolibrary.org/obo/DOID_0080559,ALG12-congenital disorder of glycosylation
http://purl.obolibrary.org/obo/DOID_0080559,congenital disorder of glycosylation 1g
http://purl.obolibrary.org/obo/DOID_0080560,congenital disorder of glycosylation 1h
http://purl.obolibrary.org/obo/DOID_0080561,congenital disorder of glycosylation 1i
http://purl.obolibrary.org/obo/DOID_0080562,Congenital disorder of glycosylation 1j
http://purl.obolibrary.org/obo/DOID_0080563,congenital disorder of glycosylation 1k
http://purl.obolibrary.org/obo/DOID_0080564,congenital disorder of glycosylation 1l
http://purl.obolibrary.org/obo/DOID_0080565,DOLK-congenital disorder of glycosylation
http://purl.obolibrary.org/obo/DOID_0080565,congenital disorder of glycosylation 1m
http://purl.obolibrary.org/obo/DOID_0080565,dolichol kinase deficiency
http://purl.obolibrary.org/obo/DOID_0080566,congenital disorder of glycosylation 1n
http://purl.obolibrary.org/obo/DOID_0080567,congenital disorder of glycosylation 1p
http://purl.obolibrary.org/obo/DOID_0080568,congenital disorder of glycosylation 1q
http://purl.obolibrary.org/obo/DOID_0080569,congenital disorder of glycosylation 1r
http://purl.obolibrary.org/obo/DOID_0080570,congenital disorder of glycosylation 1t
http://purl.obolibrary.org/obo/DOID_0080571,congenital disorder of glycosylation 1u
http://purl.obolibrary.org/obo/DOID_0080572,congenital disorder of glycosylation 1w
http://purl.obolibrary.org/obo/DOID_0080573,congenital disorder of glycosylation 1x
http://purl.obolibrary.org/obo/DOID_0080574,congenital disorder of glycosylation 1y
http://purl.obolibrary.org/obo/DOID_10426,Klippel-Feil and Turner syndrome
http://purl.obolibrary.org/obo/DOID_10426,"Klippel-Feil deformity, deafness and facial asymmetry"
http://purl.obolibrary.org/obo/DOID_10426,autosomal dominant Klippel-Feil syndrome
http://purl.obolibrary.org/obo/DOID_10426,congenital dystrophia brevicollis
http://purl.obolibrary.org/obo/DOID_10426,congenital synostosis of cervical vertebrae
http://purl.obolibrary.org/obo/DOID_0080700,caudal dysgenesis syndrome
http://purl.obolibrary.org/obo/DOID_0080700,caudal dysplasia sequence
http://purl.obolibrary.org/obo/DOID_0080700,caudal regression sequence
http://purl.obolibrary.org/obo/DOID_0080700,sacral agenesis
http://purl.obolibrary.org/obo/DOID_0080700,sacral defect with anterior meningocele
http://purl.obolibrary.org/obo/DOID_0080833,congenital laryngomalacia
http://purl.obolibrary.org/obo/DOID_0080980,Zain syndrome
http://purl.obolibrary.org/obo/DOID_0081021,congenital fibrosis of the extraocular muscles 4
http://purl.obolibrary.org/obo/DOID_14791,LCA
http://purl.obolibrary.org/obo/DOID_14791,Leber's amaurosis
http://purl.obolibrary.org/obo/DOID_14791,Leber's congenital amaurosis
http://purl.obolibrary.org/obo/DOID_14791,Leber's disease
http://purl.obolibrary.org/obo/DOID_0081266,PAMDDFS
http://purl.obolibrary.org/obo/DOID_2106,Batten Turner congenital myopathy
http://purl.obolibrary.org/obo/DOID_2106,Thomsen and Becker disease
http://purl.obolibrary.org/obo/DOID_0081336,"Congenital myotonia, autosomal dominant form"
http://purl.obolibrary.org/obo/DOID_0081336,Thomsen's disease
